outer_fold,repeat,split,algorithm,roc_auc,pr_auc,macro_f1,balanced_accuracy,mcc,train_time_sec,latency_ms_sample,best_params
7,2,2,Decision_Tree,0.7509411742477249,0.3847866982753125,0.6166496276787169,0.5856203601851409,0.32111130038561453,7.503895282745361,0.002436617612114949,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
7,2,2,Random_Forest,0.7911682546767917,0.4503631966960544,0.6183007936121525,0.5869648104750214,0.321658479200296,96.23951864242554,0.007605017063902882,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 150}"
7,2,2,Neural_Network_MLP,0.7899990936621893,0.4462624880568997,0.6530320529662846,0.6174401241358054,0.35385125537189777,65.0691487789154,0.003388815383586872,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (32, 16)}"
8,2,3,Logistic_Regression,0.7913562602936249,0.4561786335755929,0.6004433146909984,0.5734978091390872,0.31283871637470306,11.576147556304932,0.003005637497198386,"{'model__C': 0.001, 'model__class_weight': None}"
8,2,3,Decision_Tree,0.7624075785854847,0.4075983525239029,0.6326113705439704,0.5977003629018938,0.34330957875863194,7.606337070465088,0.0021486044943368862,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
8,2,3,Random_Forest,0.8067102784056855,0.48479888981680674,0.6368386764817511,0.6011297769498308,0.3481406504720061,97.25615859031677,0.0076638761982457445,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 150}"
8,2,3,Neural_Network_MLP,0.7937044750428262,0.464073895692909,0.647653487266838,0.6106055158492328,0.3582144628058753,68.88182067871094,0.0065305555814964234,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (32,)}"
9,2,4,Logistic_Regression,0.7801598048399503,0.41422142822594243,0.5968256995422397,0.571334009546821,0.29972119703015065,11.691704511642456,0.011851068113381455,"{'model__C': 0.001, 'model__class_weight': None}"
9,2,4,Decision_Tree,0.7738184599793302,0.40453961053204923,0.6236169279888174,0.5911664181252743,0.3267054142203707,7.465639114379883,0.002192785034920855,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
9,2,4,Random_Forest,0.7967259046592072,0.4523864654452685,0.6262616032841221,0.5936464738583219,0.32566787566315963,95.82623028755188,0.01007319220500638,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
9,2,4,Neural_Network_MLP,0.788502212686937,0.4463210710536164,0.6307877198732655,0.5969476600142518,0.334303551989354,65.36885690689087,0.0032805643735977106,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16)}"
10,2,5,Logistic_Regression,0.7860857916121999,0.42821254848468954,0.5908154427558419,0.5674256027522027,0.2869927588708488,10.059746026992798,0.014790695366457005,"{'model__C': 0.001, 'model__class_weight': None}"
10,2,5,Decision_Tree,0.7790960073712973,0.4045137738416611,0.6207744303711126,0.5884212794297391,0.33044520761902013,7.748816967010498,0.0021775853076557283,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
10,2,5,Random_Forest,0.7996101105222673,0.4675058840548768,0.6302533939373597,0.5960155560563087,0.3385759030357546,91.34578585624695,0.006536838135432676,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
10,2,5,Neural_Network_MLP,0.7947477737455344,0.45249957226466725,0.6279709624319556,0.5941340937834764,0.336726853214495,63.00501465797424,0.003264756657241979,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (32, 16)}"
11,3,1,Logistic_Regression,0.7761681813034369,0.43163829481359683,0.597558497924929,0.5716765873015873,0.3050887265374567,11.019875526428223,0.0057144324833933394,"{'model__C': 0.001, 'model__class_weight': None}"
11,3,1,Decision_Tree,0.7506327206368079,0.40136224262571146,0.6241413868483193,0.5900554187192117,0.3471232051853725,6.358812570571899,0.0036734293362884743,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
11,3,1,Random_Forest,0.793466551181511,0.4641979814111817,0.6314478234121091,0.5960334564860427,0.3499487006106733,93.54133796691895,0.006261122000917987,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
11,3,1,Neural_Network_MLP,0.7860205455051621,0.44810271078874586,0.6443447382567211,0.6071856185002736,0.35837892675925354,57.97226071357727,0.0033525658672790377,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (32, 16)}"
12,3,2,Logistic_Regression,0.7704635283170046,0.4092306457826795,0.5823890165843804,0.5619722501208942,0.269382707832982,10.652376890182495,0.005779862765767897,"{'model__C': 0.001, 'model__class_weight': None}"
